Title,Popularity,Vote_Count,Vote_Average,Release_Date,Genre,Revenue,Subgenre
Avengers: Endgame,58.985,12386,8.3,2019-04-24,sci-fi,858373000,Supernatural
Avengers: Endgame,58.985,12386,8.3,2019-04-24,sci-fi,858373000,Alien_Invasion
Avengers: Endgame,58.985,12386,8.3,2019-04-24,sci-fi,858373000,Time_Travel
Avengers: Endgame,58.985,12386,8.3,2019-04-24,sci-fi,858373000,Superhero
Avatar,60.213,20869,7.4,2009-12-10,sci-fi,749766139,Affliction
Avengers: Infinity War,87.698,17541,8.3,2018-04-25,sci-fi,678815482,Supernatural
Avengers: Infinity War,87.698,17541,8.3,2018-04-25,sci-fi,678815482,Superhero
The Avengers,51.985,21978,7.7,2012-04-25,sci-fi,623357910,Supernatural
The Avengers,51.985,21978,7.7,2012-04-25,sci-fi,623357910,Alien_Invasion
The Avengers,51.985,21978,7.7,2012-04-25,sci-fi,623357910,Superhero
Avengers: Age of Ultron,42.839,15448,7.3,2015-04-22,sci-fi,459005868,Supernatural
Avengers: Age of Ultron,42.839,15448,7.3,2015-04-22,sci-fi,459005868,Superhero
Avengers: Age of Ultron,42.839,15448,7.3,2015-04-22,sci-fi,459005868,Robot
Black Panther,41.724,14720,7.4,2018-02-13,sci-fi,700059566,Supernatural
Black Panther,41.724,14720,7.4,2018-02-13,sci-fi,700059566,Superhero
Iron Man 3,39.317,15835,6.9,2013-04-18,sci-fi,409013994,Supernatural
Iron Man 3,39.317,15835,6.9,2013-04-18,sci-fi,409013994,Superhero
Captain America: Civil War,51.493,15810,7.4,2016-04-27,sci-fi,408084349,Supernatural
Captain America: Civil War,51.493,15810,7.4,2016-04-27,sci-fi,408084349,Superhero
Spider-Man: Far from Home,91.951,6800,7.5,2019-06-28,sci-fi,390532085,Supernatural
Spider-Man: Far from Home,91.951,6800,7.5,2019-06-28,sci-fi,390532085,Superhero
Captain Marvel,49.942,8874,7.0,2019-03-06,sci-fi,426829839,Supernatural
Captain Marvel,49.942,8874,7.0,2019-03-06,sci-fi,426829839,Alien_Invasion
Captain Marvel,49.942,8874,7.0,2019-03-06,sci-fi,426829839,Superhero
Transformers: Dark of the Moon,7.601,5560,6.1,2011-06-28,sci-fi,352390543,Alien_Invasion
Transformers: Dark of the Moon,7.601,5560,6.1,2011-06-28,sci-fi,352390543,Robot
Transformers: Age of Extinction,31.875,5384,5.8,2014-06-25,sci-fi,245439076,Alien_Invasion
Transformers: Age of Extinction,31.875,5384,5.8,2014-06-25,sci-fi,245439076,Robot
Spider-Man: Homecoming,46.52,13825,7.4,2017-07-05,sci-fi,334201140,Supernatural
Spider-Man: Homecoming,46.52,13825,7.4,2017-07-05,sci-fi,334201140,Superhero
Guardians of the Galaxy Vol. 2,50.0,14467,7.6,2017-04-19,sci-fi,389813101,Supernatural
Guardians of the Galaxy Vol. 2,50.0,14467,7.6,2017-04-19,sci-fi,389813101,Superhero
Venom,38.82,8366,6.6,2018-09-28,sci-fi,213515506,Supernatural
Venom,38.82,8366,6.6,2018-09-28,sci-fi,213515506,Superhero
Star Wars: Episode III - Revenge of the Sith,34.236,8779,7.3,2005-05-17,sci-fi,380270577,Supernatural
The Hunger Games: Catching Fire,26.160999999999998,12402,7.4,2013-11-15,sci-fi,424668047,Post_Apocalypse
The Hunger Games: Catching Fire,26.160999999999998,12402,7.4,2013-11-15,sci-fi,424668047,Future
Transformers: Revenge of the Fallen,9.142999999999999,5608,6.1,2009-06-19,sci-fi,402111870,Alien_Invasion
Transformers: Revenge of the Fallen,9.142999999999999,5608,6.1,2009-06-19,sci-fi,402111870,Robot
Guardians of the Galaxy,30.566,20196,7.9,2014-07-30,sci-fi,333176600,Supernatural
Guardians of the Galaxy,30.566,20196,7.9,2014-07-30,sci-fi,333176600,Superhero
2012,30.502,8548,5.7,2009-10-10,sci-fi,166112167,Future
The Hunger Games: Mockingjay - Part 1,57.71100000000001,11226,6.8,2014-11-18,sci-fi,337135885,Post_Apocalypse
The Hunger Games: Mockingjay - Part 1,57.71100000000001,11226,6.8,2014-11-18,sci-fi,337135885,Future
X-Men: Days of Future Past,34.332,11146,7.5,2014-05-15,sci-fi,233921534,Supernatural
X-Men: Days of Future Past,34.332,11146,7.5,2014-05-15,sci-fi,233921534,Time_Travel
X-Men: Days of Future Past,34.332,11146,7.5,2014-05-15,sci-fi,233921534,Superhero
X-Men: Days of Future Past,34.332,11146,7.5,2014-05-15,sci-fi,233921534,Robot
Suicide Squad,22.834,15169,5.9,2016-08-03,sci-fi,325100054,Supernatural
Suicide Squad,22.834,15169,5.9,2016-08-03,sci-fi,325100054,Superhero
The Matrix Reloaded,31.916,6659,6.9,2003-05-15,sci-fi,281576461,Person_vs_Machine
The Matrix Reloaded,31.916,6659,6.9,2003-05-15,sci-fi,281576461,Post_Apocalypse
The Matrix Reloaded,31.916,6659,6.9,2003-05-15,sci-fi,281576461,Future
Captain America: The Winter Soldier,21.503,12582,7.7,2014-03-20,sci-fi,259766572,Supernatural
Captain America: The Winter Soldier,21.503,12582,7.7,2014-03-20,sci-fi,259766572,Superhero
Dawn of the Planet of the Apes,33.222,7851,7.3,2014-06-26,sci-fi,208545589,Post_Apocalypse
Dawn of the Planet of the Apes,33.222,7851,7.3,2014-06-26,sci-fi,208545589,Future
Transformers,8.671,7440,6.7,2007-06-27,sci-fi,319246193,Alien_Invasion
Transformers,8.671,7440,6.7,2007-06-27,sci-fi,319246193,Robot
The Hunger Games,23.211,16067,7.1,2012-03-12,sci-fi,408010692,Post_Apocalypse
The Hunger Games,23.211,16067,7.1,2012-03-12,sci-fi,408010692,Future
Doctor Strange,41.341,14583,7.4,2016-10-25,sci-fi,232641920,Supernatural
Doctor Strange,41.341,14583,7.4,2016-10-25,sci-fi,232641920,Superhero
Doctor Strange,10.108,156,6.3,2007-08-14,sci-fi,232641920,Supernatural
Doctor Strange,10.108,156,6.3,2007-08-14,sci-fi,232641920,Superhero
Interstellar,86.074,21757,8.3,2014-11-05,sci-fi,188020017,Future
Man of Steel,32.001,10776,6.5,2013-06-12,sci-fi,291045518,Supernatural
Man of Steel,32.001,10776,6.5,2013-06-12,sci-fi,291045518,Alien_Invasion
Man of Steel,32.001,10776,6.5,2013-06-12,sci-fi,291045518,Superhero
Justice League,41.602,8769,6.2,2017-11-15,sci-fi,229024295,Supernatural
Justice League,41.602,8769,6.2,2017-11-15,sci-fi,229024295,Superhero
The Hunger Games: Mockingjay - Part 2,32.257,8511,6.9,2015-11-18,sci-fi,281723902,Post_Apocalypse
The Hunger Games: Mockingjay - Part 2,32.257,8511,6.9,2015-11-18,sci-fi,281723902,Future
Star Wars: Episode II - Attack of the Clones,35.488,8490,6.5,2002-05-15,sci-fi,302191252,Space_Opera
Star Wars: Episode II - Attack of the Clones,35.488,8490,6.5,2002-05-15,sci-fi,302191252,Supernatural
The Martian,44.87300000000001,13749,7.7,2015-09-30,sci-fi,228433663,Future
Men in Black 3,25.109,7264,6.4,2012-05-23,sci-fi,179020854,Alien_Invasion
Men in Black 3,25.109,7264,6.4,2012-05-23,sci-fi,179020854,Time_Travel
Iron Man 2,40.925,14087,6.8,2010-04-28,sci-fi,312433331,Supernatural
Iron Man 2,40.925,14087,6.8,2010-04-28,sci-fi,312433331,Superhero
Ant-Man and the Wasp,37.294,8039,7.0,2018-07-04,sci-fi,216648740,Supernatural
Ant-Man and the Wasp,37.294,8039,7.0,2018-07-04,sci-fi,216648740,Superhero
Logan,40.53,13866,7.8,2017-02-28,sci-fi,226277068,Supernatural
Logan,40.53,13866,7.8,2017-02-28,sci-fi,226277068,Superhero
Logan,40.53,13866,7.8,2017-02-28,sci-fi,226277068,Future
Transformers: The Last Knight,23.31,3794,6.0,2017-06-16,sci-fi,130168683,Alien_Invasion
Transformers: The Last Knight,23.31,3794,6.0,2017-06-16,sci-fi,130168683,Robot
War of the Worlds,24.018,5156,6.4,2005-06-28,sci-fi,234280354,Alien_Invasion
I Am Legend,40.853,10344,7.1,2007-12-14,sci-fi,256393010,Post_Apocalypse
I Am Legend,40.853,10344,7.1,2007-12-14,sci-fi,256393010,Future
Iron Man,58.688,17908,7.6,2008-04-30,sci-fi,318604126,Supernatural
Iron Man,58.688,17908,7.6,2008-04-30,sci-fi,318604126,Superhero
Ready Player One,41.75899999999999,8837,7.6,2018-03-28,sci-fi,137690172,Future
X-Men: Apocalypse,31.234,9262,6.5,2016-05-18,sci-fi,155442489,Superhero
World War Z,37.982,10448,6.7,2013-06-20,sci-fi,202359711,Post_Apocalypse
World War Z,37.982,10448,6.7,2013-06-20,sci-fi,202359711,Future
WALL·E,38.865,12418,8.0,2008-06-22,sci-fi,223808164,Robot
Ant-Man,38.05,13668,7.1,2015-07-14,sci-fi,180202163,Superhero
War for the Planet of the Apes,30.264,5886,7.1,2017-07-11,sci-fi,146880162,Post_Apocalypse
War for the Planet of the Apes,30.264,5886,7.1,2017-07-11,sci-fi,146880162,Future
Teenage Mutant Ninja Turtles,46.354,4736,5.8,2014-08-07,sci-fi,191204754,Superhero
Teenage Mutant Ninja Turtles,46.354,4736,5.8,2014-08-07,sci-fi,135265915,Superhero
Bumblebee,31.636,3504,6.6,2018-12-15,sci-fi,127195589,Robot
X-Men: The Last Stand,1.4909999999999999,6597,6.4,2006-05-24,sci-fi,234362462,Supernatural
X-Men: The Last Stand,1.4909999999999999,6597,6.4,2006-05-24,sci-fi,234362462,Superhero
Men in Black II,38.165,6682,6.3,2002-07-03,sci-fi,190418803,Alien_Invasion
Terminator Genisys,53.956,5976,5.9,2015-06-23,sci-fi,89760956,Time_Travel
Terminator Genisys,53.956,5976,5.9,2015-06-23,sci-fi,89760956,Robot
Terminator 3: Rise of the Machines,29.304000000000002,4165,6.0,2003-07-02,sci-fi,150371112,Person_vs_Machine
Terminator 3: Rise of the Machines,29.304000000000002,4165,6.0,2003-07-02,sci-fi,150371112,Time_Travel
Terminator 3: Rise of the Machines,29.304000000000002,4165,6.0,2003-07-02,sci-fi,150371112,Robot
The Matrix Revolutions,27.208000000000002,5977,6.6,2003-11-03,sci-fi,139313948,Person_vs_Machine
The Matrix Revolutions,27.208000000000002,5977,6.6,2003-11-03,sci-fi,139313948,Post_Apocalypse
The Matrix Revolutions,27.208000000000002,5977,6.6,2003-11-03,sci-fi,139313948,Future
The Wolverine,5.195,6785,6.3,2013-07-23,sci-fi,132556852,Superhero
Signs,30.789,3383,6.6,2002-08-02,sci-fi,227966634,Alien_Invasion
Pacific Rim,23.916999999999998,8431,6.8,2013-07-11,sci-fi,101802906,Alien_Invasion
Pacific Rim,23.916999999999998,8431,6.8,2013-07-11,sci-fi,101802906,Robot
Alita: Battle Angel,50.395,4691,7.0,2019-01-31,sci-fi,85710210,Post_Apocalypse
Alita: Battle Angel,50.395,4691,7.0,2019-01-31,sci-fi,85710210,Robot
Alita: Battle Angel,50.395,4691,7.0,2019-01-31,sci-fi,85710210,Future
Prometheus,31.76,8222,6.4,2012-05-30,sci-fi,126477084,Robot
Prometheus,31.76,8222,6.4,2012-05-30,sci-fi,126477084,Future
TRON: Legacy,23.746,4872,6.4,2010-12-10,sci-fi,172062763,Person_vs_Machine
Superman Returns,24.804000000000002,2702,5.6,2006-06-28,sci-fi,200081192,Supernatural
Superman Returns,24.804000000000002,2702,5.6,2006-06-28,sci-fi,200081192,Superhero
Independence Day: Resurgence,26.615,4277,5.1,2016-06-22,sci-fi,103144286,Alien_Invasion
Star Trek,24.535,7014,7.4,2009-05-06,sci-fi,257730019,Time_Travel
Mad Max: Fury Road,38.877,16047,7.5,2015-05-13,sci-fi,153636354,Post_Apocalypse
Mad Max: Fury Road,38.877,16047,7.5,2015-05-13,sci-fi,153636354,Future
Spider-Man: Into the Spider-Verse,53.252,6797,8.4,2018-12-06,sci-fi,190241310,Superhero
X-Men Origins: Wolverine,3.089,7270,6.2,2009-04-28,sci-fi,179883157,Superhero
Terminator Salvation,31.007,4296,6.0,2009-05-20,sci-fi,125322469,Person_vs_Machine
Terminator Salvation,31.007,4296,6.0,2009-05-20,sci-fi,125322469,Post_Apocalypse
Terminator Salvation,31.007,4296,6.0,2009-05-20,sci-fi,125322469,Robot
Terminator Salvation,31.007,4296,6.0,2009-05-20,sci-fi,125322469,Future
Captain America: The First Avenger,28.071,14541,6.9,2011-07-22,sci-fi,176654505,Superhero
Edge of Tomorrow,37.862,9157,7.6,2014-05-27,sci-fi,100206256,Alien_Invasion
Home,22.916,2687,6.8,2015-03-18,sci-fi,177397510,Alien_Invasion
Home,0.6,4,4.8,2017-04-30,sci-fi,177397510,Alien_Invasion
Minority Report,25.252,5326,7.3,2002-06-20,sci-fi,132072926,Future
X-Men: First Class,1.439,9140,7.3,2011-06-01,sci-fi,146408305,Superhero
"I, Robot",41.90600000000001,7923,6.9,2004-07-15,sci-fi,144801023,Person_vs_Machine
"I, Robot",41.90600000000001,7923,6.9,2004-07-15,sci-fi,144801023,Robot
"I, Robot",41.90600000000001,7923,6.9,2004-07-15,sci-fi,144801023,Future
A Quiet Place,38.091,7649,7.3,2018-04-03,sci-fi,188024361,Alien_Invasion
Fantastic Four,29.84,6401,5.7,2005-06-29,sci-fi,154696080,Superhero
Fantastic Four,29.84,6401,5.7,2005-06-29,sci-fi,56117548,Superhero
Fantastic Four,24.614,4236,4.4,2015-08-05,sci-fi,154696080,Superhero
Fantastic Four,24.614,4236,4.4,2015-08-05,sci-fi,56117548,Superhero
Megamind,26.279,4242,6.8,2010-10-28,sci-fi,148415853,Superhero
Maze Runner: The Scorch Trials,30.54300000000001,7089,6.7,2015-09-09,sci-fi,81697192,Post_Apocalypse
Maze Runner: The Scorch Trials,30.54300000000001,7089,6.7,2015-09-09,sci-fi,81697192,Future
Passengers,18.28,9077,6.9,2016-12-21,sci-fi,100014699,Future
Battleship,26.605,3645,5.7,2012-04-11,sci-fi,65422625,Alien_Invasion
Real Steel,25.32800000000001,5201,6.8,2011-09-28,sci-fi,85468508,Robot
Real Steel,25.32800000000001,5201,6.8,2011-09-28,sci-fi,85468508,Future
Austin Powers in Goldmember,27.955,1993,5.9,2002-07-26,sci-fi,213307889,Time_Travel
X-Men,1.652,7733,7.0,2000-07-13,sci-fi,157299718,Superhero
Insurgent,40.056,7495,6.3,2015-03-18,sci-fi,130179072,Future
Pacific Rim: Uprising,25.068,2758,5.9,2018-03-21,sci-fi,59874525,Robot
Divergent,27.239,9249,6.9,2014-03-14,sci-fi,150947895,Future
Oblivion,29.804000000000002,7619,6.5,2013-04-10,sci-fi,89107235,Post_Apocalypse
Oblivion,29.804000000000002,7619,6.5,2013-04-10,sci-fi,89107235,Future
Maze Runner: The Death Cure,32.31,4652,7.0,2018-01-10,sci-fi,58032443,Post_Apocalypse
Maze Runner: The Death Cure,32.31,4652,7.0,2018-01-10,sci-fi,58032443,Future
Robots,23.77,2937,6.3,2005-03-10,sci-fi,128200012,Robot
Blade Runner 2049,47.44300000000001,7989,7.4,2017-10-04,sci-fi,92054159,Robot
Blade Runner 2049,47.44300000000001,7989,7.4,2017-10-04,sci-fi,92054159,Future
Teenage Mutant Ninja Turtles: Out of the Shadows,21.604,2098,5.9,2016-06-01,sci-fi,82051601,Superhero
Hulk,26.17,3693,5.4,2003-06-19,sci-fi,132177234,Superhero
Pixels,33.369,5010,5.6,2015-07-16,sci-fi,78747585,Alien_Invasion
Pixels,2.676,41,7.2,2010-04-01,sci-fi,78747585,Alien_Invasion
RoboCop,25.06,3805,5.8,2014-01-30,sci-fi,58607007,Robot
RoboCop,25.06,3805,5.8,2014-01-30,sci-fi,53424681,Robot
RoboCop,25.06,3805,5.8,2014-01-30,sci-fi,58607007,Future
A.I. Artificial Intelligence,26.806,4016,7.0,2001-06-29,sci-fi,78616689,Robot
A.I. Artificial Intelligence,26.806,4016,7.0,2001-06-29,sci-fi,78616689,Future
Terminator: Dark Fate,55.556,1980,6.4,2019-10-23,sci-fi,62253077,Robot
The Day the Earth Stood Still,25.109,2021,5.4,2008-12-10,sci-fi,79366978,Alien_Invasion
Green Lantern,19.642,4887,5.1,2011-06-16,sci-fi,116601172,Superhero
District 9,23.301,6170,7.4,2009-08-05,sci-fi,115646235,Alien_Invasion
Arrival,36.084,11913,7.5,2016-11-10,sci-fi,100546139,Alien_Invasion
Total Recall,26.076,3875,5.9,2012-08-02,sci-fi,119394840,Affliction
Total Recall,26.076,3875,5.9,2012-08-02,sci-fi,58877969,Affliction
Total Recall,26.076,3875,5.9,2012-08-02,sci-fi,119394840,Future
Total Recall,26.076,3875,5.9,2012-08-02,sci-fi,58877969,Future
Watchmen,24.898000000000003,5820,7.3,2009-03-05,sci-fi,107509799,Superhero
Allegiant,28.980999999999998,4662,6.0,2016-03-09,sci-fi,66184051,Future
Daredevil,22.105999999999998,3282,5.1,2003-02-14,sci-fi,102543518,Superhero
Cowboys & Aliens,21.776,3466,5.5,2011-07-29,sci-fi,100240551,Alien_Invasion
In Time,29.826999999999998,7260,6.9,2011-10-27,sci-fi,37520095,Future
Ghost in the Shell,33.431999999999995,5761,6.0,2017-03-29,sci-fi,40563557,Robot
The Incredible Hulk,39.485,7322,6.2,2008-06-12,sci-fi,134806913,Superhero
The Island,26.20300000000001,3471,6.6,2005-07-21,sci-fi,35818913,Future
The Book of Eli,19.29,3984,6.7,2010-01-11,sci-fi,94835059,Post_Apocalypse
The Book of Eli,19.29,3984,6.7,2010-01-11,sci-fi,94835059,Future
I Am Number Four,20.967,3207,6.1,2011-02-18,sci-fi,55100437,Alien_Invasion
Source Code,22.585,5244,7.2,2011-03-30,sci-fi,54712227,Time_Travel
Chronicle,18.271,3426,6.7,2012-02-01,sci-fi,64575175,Superhero
Power Rangers,26.282,3027,6.2,2017-03-23,sci-fi,85364450,Superhero
Blade: Trinity,20.329,2373,5.8,2004-12-08,sci-fi,52411906,Superhero
Ender's Game,16.072,3966,6.6,2013-10-23,sci-fi,61737191,Alien_Invasion
The Time Machine,15.177,1283,6.0,2002-03-04,sci-fi,56832494,Time_Travel
Surrogates,16.553,2072,6.0,2009-09-24,sci-fi,38577772,Robot
The Forgotten,12.169,662,5.7,2004-09-24,sci-fi,67133509,Affliction
The Chronicles of Riddick,9.684,2595,6.4,2004-06-11,sci-fi,57761012,Space_Opera
The 5th Wave,24.406999999999996,4103,5.9,2016-01-14,sci-fi,34916787,Alien_Invasion
Chappie,37.968,5534,6.7,2015-03-04,sci-fi,31569268,Robot
Transcendence,14.527,3903,6.0,2014-04-16,sci-fi,23022309,Person_vs_Machine
The Stepford Wives,9.342,768,5.6,2004-06-10,sci-fi,59484742,Robot
Evolution,20.441,1298,5.9,2001-06-08,sci-fi,38345494,Alien_Invasion
The 6th Day,17.636,1160,5.9,2000-11-17,sci-fi,34604280,Future
The Butterfly Effect,24.732,4528,7.5,2004-01-22,sci-fi,57938693,Time_Travel
Paycheck,14.227,1070,6.1,2003-12-25,sci-fi,53790451,Affliction
Paycheck,14.227,1070,6.1,2003-12-25,sci-fi,53790451,Future
The Purge,33.038000000000004,5593,6.2,2013-05-31,sci-fi,64473115,Future
Escape from Planet Earth,11.797,506,5.8,2013-02-14,sci-fi,57012977,Alien_Invasion
Eternal Sunshine of the Spotless Mind,30.393,8993,8.1,2004-03-19,sci-fi,34400301,Affliction
Babylon A.D.,18.887,1256,5.5,2008-08-20,sci-fi,22532572,Future
Children of Men,22.892,4255,7.6,2006-09-22,sci-fi,35552383,Future
The Watch,11.97,1525,5.4,2012-07-26,sci-fi,35353000,Alien_Invasion
Frequency,17.703,965,7.2,2000-04-28,sci-fi,45010278,Time_Travel
Skyline,13.302999999999999,955,4.8,2010-11-11,sci-fi,21393620,Alien_Invasion
The Darkest Hour,14.360999999999999,832,5.0,2011-12-22,sci-fi,21443494,Alien_Invasion
Hot Tub Time Machine,20.28,1572,6.0,2010-03-26,sci-fi,50287556,Time_Travel
28 Weeks Later,25.013,2496,6.5,2007-04-26,sci-fi,28638916,Post_Apocalypse
28 Weeks Later,25.013,2496,6.5,2007-04-26,sci-fi,28638916,Future
The Host,13.322,3085,6.3,2013-03-22,sci-fi,26627201,Alien_Invasion
Sky Captain and the World of Tomorrow,15.945,766,5.8,2004-09-17,sci-fi,37762677,Robot
Æon Flux,21.863000000000003,1294,5.5,2005-11-30,sci-fi,25874337,Future
Her,31.333000000000002,9386,7.9,2013-12-18,sci-fi,25568251,Future
Looper,16.962,7382,6.8,2012-09-26,sci-fi,66486205,Time_Travel
Looper,16.962,7382,6.8,2012-09-26,sci-fi,66486205,Future
The World's End,23.738000000000003,3457,6.7,2013-07-18,sci-fi,26004851,Alien_Invasion
Hellboy,23.476999999999997,1722,5.3,2019-04-10,sci-fi,59623958,Superhero
Timeline,12.786,616,5.6,2003-11-26,sci-fi,19481943,Time_Travel
Ex Machina,35.125,9037,7.6,2015-01-16,sci-fi,25442958,Person_vs_Machine
Ex Machina,35.125,9037,7.6,2015-01-16,sci-fi,25442958,Robot
Titan A.E.,13.689,583,6.5,2000-06-16,sci-fi,22753426,Space_Opera
Project Almanac,11.537,1618,6.5,2015-01-28,sci-fi,22348241,Time_Travel
Lockout,15.533,1151,5.9,2012-04-12,sci-fi,14326864,Future
Sunshine,23.118,2228,7.0,2007-04-05,sci-fi,3675753,Future
Ultraviolet,14.214,874,5.0,2006-03-03,sci-fi,18535812,Future
Doomsday,15.197000000000001,673,5.8,2008-03-14,sci-fi,11008770,Post_Apocalypse
Doomsday,15.197000000000001,673,5.8,2008-03-14,sci-fi,11008770,Future
Battlefield Earth,10.997,465,2.9,2000-05-10,sci-fi,21471685,Alien_Invasion
Left Behind,18.39,855,4.1,2014-10-03,sci-fi,14019924,Post_Apocalypse
Left Behind,18.39,855,4.1,2014-10-03,sci-fi,14019924,Future
Left Behind,6.5310000000000015,70,4.0,2000-10-30,sci-fi,14019924,Post_Apocalypse
Left Behind,6.5310000000000015,70,4.0,2000-10-30,sci-fi,14019924,Future
Repo Men,16.451,1143,6.3,2010-03-18,sci-fi,13794835,Future
The Invasion,14.547,820,5.9,2007-08-17,sci-fi,15074191,Alien_Invasion
Upgrade,23.275,1882,7.4,2018-06-01,sci-fi,11977130,Robot
Upgrade,23.275,1882,7.4,2018-06-01,sci-fi,11977130,Future
A Sound of Thunder,10.241,201,4.6,2005-05-15,sci-fi,1900451,Time_Travel
Captive State,13.605,459,5.4,2019-03-15,sci-fi,5958315,Alien_Invasion
Captive State,13.605,459,5.4,2019-03-15,sci-fi,5958315,Future
Attack the Block,11.056,1296,6.4,2011-05-12,sci-fi,1024175,Alien_Invasion
Robot & Frank,8.65,691,6.9,2012-08-16,sci-fi,3325038,Robot
Robot & Frank,8.65,691,6.9,2012-08-16,sci-fi,3325038,Future
Predestination,22.296,3894,7.4,2014-08-28,sci-fi,68372,Time_Travel
Universal Soldier: Day of Reckoning,10.699000000000002,222,5.3,2012-10-04,sci-fi,5460,Robot
The Recall,9.449,197,4.0,2017-06-02,sci-fi,22943,Alien_Invasion
Evil Bong 3: The Wrath of Bong,3.1630000000000003,11,4.4,2011-04-08,sci-fi,91260,Alien_Invasion
Freaks of Nature,11.880999999999998,279,5.9,2015-10-30,sci-fi,70958,Alien_Invasion
Synchronicity,10.601,234,5.7,2015-07-22,sci-fi,4505,Time_Travel
Testament,0.8590000000000001,0,0.0,2017-10-22,sci-fi,2044892,Post_Apocalypse
Alien Nation,0.86,0,0.0,2022-12-31,sci-fi,25216243,Alien_Invasion
Alien Nation,0.86,0,0.0,2022-12-31,sci-fi,25216243,Future
Time Freak,13.715,155,6.3,2018-11-09,sci-fi,10003,Time_Travel
Time Freak,2.82,10,7.0,2011-02-10,sci-fi,10003,Time_Travel
Oasis,1.852,17,7.3,2017-03-17,sci-fi,10304,Affliction
A-X-L,15.058,548,5.8,2018-08-23,sci-fi,6501381,Robot
1984,4.06,0,0.0,2008-05-12,sci-fi,8430492,Future
Dystopia: 2013,0.6,1,2.0,2012-01-15,sci-fi,1708,Post_Apocalypse
The Philadelphia Experiment,8.18,71,4.6,2012-07-27,sci-fi,8103330,Time_Travel
The History of Future Folk,5.8729999999999976,34,6.8,2012-06-15,sci-fi,17646,Alien_Invasion
Storage 24,6.119,74,4.3,2012-06-29,sci-fi,72,Alien_Invasion
Sound of My Voice,7.451,196,6.4,2011-01-22,sci-fi,408015,Time_Travel
The Day,9.857999999999999,150,5.0,2011-09-15,sci-fi,20984,Post_Apocalypse
Just Visiting,9.924,405,4.6,2001-04-06,sci-fi,4781539,Time_Travel
Time Changer,3.736,22,5.2,2003-10-25,sci-fi,1285167,Time_Travel
Robot Stories,3.1180000000000003,10,4.6,2003-01-01,sci-fi,131451,Robot
Alien Trespass,6.2639999999999985,44,5.4,2009-04-03,sci-fi,104526,Alien_Invasion
Wonder Woman,11.495,296,7.3,2009-03-03,sci-fi,412563408,Supernatural
Wonder Woman,11.495,296,7.3,2009-03-03,sci-fi,412563408,Superhero
Impostor,10.091,221,6.1,2001-12-03,sci-fi,6285176,Alien_Invasion
