,Title,Rating
0,Sunshine,R
2,Prometheus,R
5,Fantastic Four,PG-13
9,Spider-Man: Far from Home,PG-13
14,2012,PG-13
20,Terminator: Dark Fate,R
27,Maze Runner: The Death Cure,PG-13
35,The Day,R
44,Terminator Salvation,PG-13
54,Passengers,PG-13
65,Ender's Game,PG-13
77,The Matrix Reloaded,R
90,Evolution,PG-13
104,Titan A.E.,PG
119,Iron Man,PG-13
135,Synchronicity,R
152,The Invasion,PG-13
170,Pacific Rim,PG-13
189,Alita: Battle Angel,PG-13
209,Timeline,PG-13
230,Predestination,R
252,Hulk,PG-13
275,Chronicle,PG-13
299,Time Changer,PG
324,Transformers: The Last Knight,PG-13
350,Sky Captain and the World of Tomorrow,PG
377,Justice League,PG-13
405,Transformers,PG-13
434,The Hunger Games: Mockingjay - Part 2,PG-13
464,The Matrix Revolutions,R
495,Signs,PG-13
527,Watchmen,R
560,TRON: Legacy,PG
594,X-Men: First Class,PG-13
629,Bumblebee,PG-13
665,Ex Machina,R
702,Universal Soldier: Day of Reckoning,R
740,Avatar,PG-13
779,Surrogates,PG-13
819,Evil Bong 3: The Wrath of Bong,R
860,Transformers: Revenge of the Fallen,PG-13
902,Doomsday,R
945,Freaks of Nature,R
989,Superman Returns,PG-13
1034,Insurgent,PG-13
1080,Total Recall,R
1127,Terminator Genisys,PG-13
1175,Minority Report,PG-13
1224,Dawn of the Planet of the Apes,PG-13
1274,Oblivion,PG-13
1325,RoboCop,R
1377,The World's End,R
1430,X-Men Origins: Wolverine,PG-13
1484,Spider-Man: Homecoming,PG-13
1539,X-Men: Apocalypse,PG-13
1595,Ghost in the Shell,PG-13
1652,Logan,R
1710,Captain America: The Winter Soldier,PG-13
1769,Allegiant,PG-13
1829,Blade Runner 2049,R
1890,Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13
1952,The Philadelphia Experiment,PG
2015,The Darkest Hour,PG-13
2079,X-Men,PG-13
2144,Terminator 3: Rise of the Machines,R
2210,Upgrade,R
2277,X-Men: Days of Future Past,PG-13
2345,Pacific Rim: Uprising,PG-13
2414,Iron Man 2,PG-13
2484,Alien Nation,R
2555,World War Z,PG-13
2627,Transcendence,PG-13
2700,Children of Men,R
2774,A Sound of Thunder,PG-13
2849,The Watch,R
2925,Suicide Squad,PG-13
3002,Edge of Tomorrow,PG-13
3080,The 5th Wave,PG-13
3159,Just Visiting,PG-13
3239,Avengers: Endgame,PG-13
3320,Iron Man 3,PG-13
3402,Guardians of the Galaxy Vol. 2,PG-13
3485,Independence Day: Resurgence,PG-13
3569,Maze Runner: The Scorch Trials,PG-13
3654,Captive State,PG-13
3740,Wonder Woman,PG-13
3827,Doctor Strange,PG-13
3915,Avengers: Age of Ultron,PG-13
4004,Chappie,R
4094,Oasis,
4185,District 9,R
4277,Robots,PG
4370,Guardians of the Galaxy,PG-13
4464,Left Behind,PG-13
4559,The Martian,PG-13
4655,The Avengers,PG-13
4752,Star Trek,PG-13
4850,Home,PG
4949,In Time,PG-13
5049,Ultraviolet,PG-13
5150,Men in Black II,PG-13
5252,Interstellar,PG-13
5355,Divergent,PG-13
5459,Austin Powers in Goldmember,PG-13
5564,The Purge,R
5670,Project Almanac,PG-13
5777,Babylon A.D.,PG-13
5885,1984,R
5994,Looper,R
6104,The Hunger Games: Catching Fire,PG-13
6215,28 Weeks Later,R
6327,The Recall,R
6440,Battlefield Earth,PG-13
6554,WALL·E,G
6669,Her,R
6785,Repo Men,R
6902,Pixels,PG-13
7020,Star Wars: Episode II - Attack of the Clones,PG
7139,Testament,PG
7259,Robot & Frank,PG-13
7380,The Time Machine,PG-13
7502,Captain Marvel,PG-13
7625,Paycheck,PG-13
7749,Eternal Sunshine of the Spotless Mind,R
7874,The Hunger Games,PG-13
8000,Blade: Trinity,R
8127,Sound of My Voice,R
8255,"I, Robot",PG-13
8384,Spider-Man: Into the Spider-Verse,PG
8514,Cowboys & Aliens,PG-13
8645,Frequency,PG-13
8777,Attack the Block,R
8910,Black Panther,PG-13
9044,War for the Planet of the Apes,PG-13
9179,Teenage Mutant Ninja Turtles,PG-13
9315,Captain America: The First Avenger,PG-13
9452,Venom,PG-13
9590,Power Rangers,PG-13
9729,The Butterfly Effect,R
9869,Battleship,PG-13
10010,Men in Black 3,PG-13
10152,Green Lantern,PG-13
10295,The Book of Eli,R
10439,Skyline,PG-13
10584,Dystopia: 2013,Not Rated
10730,Storage 24,R
10877,Escape from Planet Earth,PG
11025,Real Steel,PG-13
11174,Ready Player One,PG-13
11324,Captain America: Civil War,PG-13
11475,Robot Stories,Not Rated
11627,I Am Legend,PG-13
11780,Source Code,PG-13
11934,Transformers: Dark of the Moon,PG-13
12089,Megamind,PG
12245,Alien Trespass,PG
12402,The Hunger Games: Mockingjay - Part 1,PG-13
12560,X-Men: The Last Stand,PG-13
12719,A Quiet Place,PG-13
12879,Avengers: Infinity War,PG-13
13040,The Forgotten,PG-13
13202,Hot Tub Time Machine,R
13365,Lockout,PG-13
13529,Impostor,PG-13
13694,The Chronicles of Riddick,R
13860,Ant-Man,PG-13
14027,Mad Max: Fury Road,R
14195,A-X-L,PG
14364,Man of Steel,PG-13
14534,The History of Future Folk,Not Rated
14705,The Stepford Wives,PG-13
14877,The Wolverine,PG-13
15050,Daredevil,TV-MA
15224,Time Freak,PG-13
15399,Star Wars: Episode III - Revenge of the Sith,PG-13
15575,Æon Flux,PG-13
15752,War of the Worlds,PG-13
15930,Ant-Man and the Wasp,PG-13
16109,I Am Number Four,PG-13
16289,Transformers: Age of Extinction,PG-13
16470,A.I. Artificial Intelligence,PG-13
16652,The Day the Earth Stood Still,PG-13
16835,The Island,PG-13
17019,Hellboy,PG-13
17204,The Incredible Hulk,PG-13
17390,Arrival,PG-13
17577,The Host,PG-13
17765,The 6th Day,PG-13
