,Date_Released,Lifetime_Gross,Title,Subgenre
0,"Dec 18, 2009",749766139,Avatar,Affliction
1,"Aug 3, 2007",227471070,The Bourne Ultimatum,Affliction
2,"Jul 23, 2004",176241941,The Bourne Supremacy,Affliction
3,"Feb 10, 2012",125014030,The Vow,Affliction
4,"Jun 14, 2002",121661683,The Bourne Identity,Affliction
5,"Feb 13, 2004",120908074,50 First Dates,Affliction
6,"Jun 1, 1990",119394840,Total Recall,Affliction
7,"Dec 15, 2004",100492203,Million Dollar Baby,Affliction
8,"Jun 25, 2004",81001787,The Notebook,Affliction
9,"Dec 22, 1989",70001698,Born on the Fourth of July,Affliction
10,"Sep 24, 2004",67133509,The Forgotten,Affliction
11,"Nov 5, 1999",66518655,The Bone Collector,Affliction
12,"Feb 18, 2011",63686397,Unknown,Affliction
13,"Nov 21, 2003",59694580,Gothika,Affliction
14,"Aug 3, 2012",58877969,Total Recall,Affliction
15,"Nov 14, 1997",58406347,Anastasia,Affliction
16,"Dec 25, 2003",53790451,Paycheck,Affliction
17,"Jul 12, 1991",43001500,Regarding Henry,Affliction
18,"Aug 23, 1991",38016380,Dead Again,Affliction
19,"Nov 7, 2014",35893537,The Theory of Everything,Affliction
20,"Mar 19, 2004",34400301,Eternal Sunshine of the Spotless Mind,Affliction
21,"Oct 11, 1996",33447612,The Long Kiss Goodnight,Affliction
22,"Feb 15, 1978",32653905,Coming Home,Affliction
23,"Dec 21, 2001",27807266,The Majestic,Affliction
24,"Mar 29, 1985",27398584,Desperately Seeking Susan,Affliction
25,"Dec 18, 1987",26713187,Overboard,Affliction
26,"Mar 16, 2001",25544867,Memento,Affliction
27,"May 18, 2001",24174218,Angel Eyes,Affliction
28,"Sep 30, 2011",21302340,Dream House,Affliction
29,"Sep 27, 1996",17380126,Extreme Measures,Affliction
30,"Nov 10, 1989",14743391,My Left Foot,Affliction
31,"Feb 27, 1998",14378331,Dark City,Affliction
32,"Oct 24, 1997",12532777,Gattaca,Affliction
33,"Jan 1, 1978",11565678,The Other Side of the Mountain: Part II,Affliction
34,"May 25, 2012",10198820,The Intouchables,Affliction
35,"Dec 2, 1981",8206145,Whose Life Is It Anyway?,Affliction
36,"May 6, 1994",7355425,Clean Slate,Affliction
37,"Oct 8, 2001",7220243,Mulholland Drive,Affliction
38,"Aug 12, 1988",6424112,Mac and Me,Affliction
39,"Oct 19, 2012",6002451,The Sessions,Affliction
40,"Jul 29, 1988",5344577,Monkey Shines,Affliction
41,"Dec 9, 1992",4814619,Passion Fish,Affliction
42,"Sep 26, 1980",3910019,Resurrection,Affliction
43,"Dec 17, 2004",2104923,The Sea Inside,Affliction
44,"Nov 23, 2012",2062027,Rust and Bone,Affliction
45,"May 15, 1992",1723319,The Waterdance,Affliction
46,"Jul 8, 2005",1531154,Murderball,Affliction
47,"Jul 13, 2018",1441705,"Don't Worry, He Won't Get Far on Foot",Affliction
48,"May 19, 1995",757088,Amateur,Affliction
49,"Oct 13, 2017",490131,Breathe,Affliction
50,"Jun 12, 2009",123670,"War Eagle, Arkansas",Affliction
51,"Feb 4, 2005",23844,Rory O'Shea Was Here,Affliction
52,"Jul 4, 2008",21659,Diminished Capacity,Affliction
53,"Jun 13, 2008",11864,Quid Pro Quo,Affliction
54,"May 7, 2004",10304,Oasis,Affliction
55,"Mar 9, 2012",3161,Apart,Affliction
56,"May 19, 1999",431088295,Star Wars: Episode I - The Phantom Menace,Space_Opera
57,"May 25, 1977",307263857,Star Wars: Episode IV - A New Hope,Space_Opera
58,"May 16, 2002",302191252,Star Wars: Episode II - Attack of the Clones,Space_Opera
59,"May 25, 1983",252583617,Star Wars: Episode VI - Return of the Jedi,Space_Opera
60,"May 21, 1980",209398025,Star Wars: Episode V - The Empire Strikes Back,Space_Opera
61,"Jun 11, 2004",57761012,The Chronicles of Riddick,Space_Opera
62,"Dec 5, 1980",27107960,Flash Gordon,Space_Opera
63,"Jun 16, 2000",22753426,Titan A.E.,Space_Opera
64,"Mar 30, 1979",21671241,Buck Rogers in the 25th Century,Space_Opera
65,"Mar 12, 1999",11578059,Wing Commander,Space_Opera
66,"May 15, 2003",281576461,The Matrix Reloaded,Person_vs_Machine
67,"Jul 3, 1991",204843345,Terminator 2: Judgment Day,Person_vs_Machine
68,"Dec 17, 2010",172062763,TRON: Legacy,Person_vs_Machine
69,"Mar 31, 1999",171479930,The Matrix,Person_vs_Machine
70,"Jul 2, 2003",150371112,Terminator 3: Rise of the Machines,Person_vs_Machine
71,"Jul 16, 2004",144801023,"I, Robot",Person_vs_Machine
72,"Nov 5, 2003",139313948,The Matrix Revolutions,Person_vs_Machine
73,"May 21, 2009",125322469,Terminator Salvation,Person_vs_Machine
74,"Sep 26, 2008",101440743,Eagle Eye,Person_vs_Machine
75,"Jun 3, 1983",79567667,WarGames,Person_vs_Machine
76,"Oct 26, 1984",38371200,The Terminator,Person_vs_Machine
77,"Jul 9, 1982",33000000,TRON,Person_vs_Machine
78,"Jul 29, 2005",32116746,Stealth,Person_vs_Machine
79,"Apr 10, 2015",25442958,Ex Machina,Person_vs_Machine
80,"Aug 4, 1995",24047675,Virtuosity,Person_vs_Machine
81,"Apr 18, 2014",23022309,Transcendence,Person_vs_Machine
82,"Dec 9, 1983",21017849,Christine,Person_vs_Machine
83,"Jul 25, 1986",7433663,Maximum Overdrive,Person_vs_Machine
84,"Sep 14, 1990",5728953,Hardware,Person_vs_Machine
85,"Jan 26, 1996",5711695,Screamers,Person_vs_Machine
86,"Dec 31, 1993",5086909,Ghost in the Machine,Person_vs_Machine
87,"Jul 20, 1984",2193612,Electric Dreams,Person_vs_Machine
88,"Nov 22, 2013",424668047,The Hunger Games: Catching Fire,Post_Apocalypse
89,"Mar 23, 2012",408010692,The Hunger Games,Post_Apocalypse
90,"Nov 21, 2014",337135885,The Hunger Games: Mockingjay - Part 1,Post_Apocalypse
91,"Nov 20, 2015",281723902,The Hunger Games: Mockingjay - Part 2,Post_Apocalypse
92,"May 15, 2003",281576461,The Matrix Reloaded,Post_Apocalypse
93,"Dec 14, 2007",256393010,I Am Legend,Post_Apocalypse
94,"Jul 11, 2014",208545589,Dawn of the Planet of the Apes,Post_Apocalypse
95,"Jun 21, 2013",202359711,World War Z,Post_Apocalypse
96,"Mar 31, 1999",171479930,The Matrix,Post_Apocalypse
97,"May 15, 2015",153636354,Mad Max: Fury Road,Post_Apocalypse
98,"Jul 14, 2017",146880162,War for the Planet of the Apes,Post_Apocalypse
99,"Nov 5, 2003",139313948,The Matrix Revolutions,Post_Apocalypse
100,"May 21, 2009",125322469,Terminator Salvation,Post_Apocalypse
101,"Jun 12, 2013",101470202,This Is the End,Post_Apocalypse
102,"Jan 15, 2010",94835059,The Book of Eli,Post_Apocalypse
103,"Apr 19, 2013",89107235,Oblivion,Post_Apocalypse
104,"Jul 28, 1995",88246220,Waterworld,Post_Apocalypse
105,"Feb 14, 2019",85710210,Alita: Battle Angel,Post_Apocalypse
106,"Sep 18, 2015",81697192,Maze Runner: The Scorch Trials,Post_Apocalypse
107,"Oct 2, 2009",75590286,Zombieland,Post_Apocalypse
108,"Feb 1, 2013",66380662,Warm Bodies,Post_Apocalypse
109,"Mar 19, 2004",59020957,Dawn of the Dead,Post_Apocalypse
110,"Jan 26, 2018",58032443,Maze Runner: The Death Cure,Post_Apocalypse
111,"Jun 27, 2003",45064915,28 Days Later...,Post_Apocalypse
112,"Jul 12, 2002",43061982,Reign of Fire,Post_Apocalypse
113,"Jul 12, 1985",36230219,Mad Max Beyond Thunderdome,Post_Apocalypse
114,"May 11, 2007",28638916,28 Weeks Later,Post_Apocalypse
115,"Aug 9, 1996",25477365,Escape from L.A.,Post_Apocalypse
116,"Jul 10, 1981",25244626,Escape from New York,Post_Apocalypse
117,"May 21, 1982",23667907,Mad Max 2: The Road Warrior,Post_Apocalypse
118,"Dec 25, 1997",17626234,The Postman,Post_Apocalypse
119,"Oct 3, 2014",14019924,Left Behind,Post_Apocalypse
120,"Mar 14, 2008",11008770,Doomsday,Post_Apocalypse
121,"Mar 21, 1980",8750000,Mad Max,Post_Apocalypse
122,"Nov 25, 2009",8117000,The Road,Post_Apocalypse
123,"Oct 19, 1990",5835247,Night of the Living Dead,Post_Apocalypse
124,"Sep 14, 1990",5728953,Hardware,Post_Apocalypse
125,"Jan 26, 1996",5711695,Screamers,Post_Apocalypse
126,"Jul 19, 1985",5000000,Day of the Dead,Post_Apocalypse
127,"Jun 27, 2014",4563650,Snowpiercer,Post_Apocalypse
128,"Mar 31, 1995",4064495,Tank Girl,Post_Apocalypse
129,"Nov 4, 1983",2044892,Testament,Post_Apocalypse
130,"Apr 3, 1992",1794187,Delicatessen,Post_Apocalypse
131,"Sep 2, 1983",1723487,Stryker,Post_Apocalypse
132,"Nov 26, 1986",1579260,Solarbabies,Post_Apocalypse
133,"Jan 20, 1989",858591,The Terror Within,Post_Apocalypse
134,"Nov 6, 1987",562187,Steel Dawn,Post_Apocalypse
135,"Sep 19, 1986",220038,Radioactive Dreams,Post_Apocalypse
136,"Sep 18, 1998",146125,Six-String Samurai,Post_Apocalypse
137,"Sep 13, 2013",124561,Final: The Rapture,Post_Apocalypse
138,"Oct 17, 2003",73060,Returner,Post_Apocalypse
139,"Mar 16, 2012",40557,The FP,Post_Apocalypse
140,"Aug 29, 2012",20984,The Day,Post_Apocalypse
141,"Nov 29, 2002",2591,Dead or Alive: Final,Post_Apocalypse
142,"Jan 13, 2012",1708,Dystopia: 2013,Post_Apocalypse
143,"Dec 18, 2015",936662225,Star Wars: Episode VII - The Force Awakens,Supernatural
144,"Apr 26, 2019",858373000,Avengers: Endgame,Supernatural
145,"Feb 16, 2018",700059566,Black Panther,Supernatural
146,"Apr 27, 2018",678815482,Avengers: Infinity War,Supernatural
147,"May 4, 2012",623357910,The Avengers,Supernatural
148,"Dec 15, 2017",620181382,Star Wars: Episode VIII - The Last Jedi,Supernatural
149,"Jun 15, 2018",608581744,Incredibles 2,Supernatural
150,"Jul 18, 2008",533345358,The Dark Knight,Supernatural
151,"Dec 20, 2019",515202542,Star Wars: Episode IX - The Rise of Skywalker,Supernatural
152,"Mar 17, 2017",504014165,Beauty and the Beast,Supernatural
153,"May 1, 2015",459005868,Avengers: Age of Ultron,Supernatural
154,"Jul 20, 2012",448139099,The Dark Knight Rises,Supernatural
155,"May 19, 2004",441226247,Shrek 2,Supernatural
156,"May 19, 1999",431088295,Star Wars: Episode I - The Phantom Menace,Supernatural
157,"Mar 8, 2019",426829839,Captain Marvel,Supernatural
158,"Jun 2, 2017",412563408,Wonder Woman,Supernatural
159,"May 3, 2013",409013994,Iron Man 3,Supernatural
160,"May 6, 2016",408084349,Captain America: Civil War,Supernatural
161,"May 3, 2002",403706375,Spider-Man,Supernatural
162,"Nov 22, 2013",400738009,Frozen,Supernatural
163,"Jul 2, 2019",390532085,Spider-Man: Far from Home,Supernatural
164,"May 5, 2017",389813101,Guardians of the Galaxy Vol. 2,Supernatural
165,"Jul 15, 2011",381011219,Harry Potter and the Deathly Hallows: Part 2,Supernatural
166,"May 19, 2005",380270577,Star Wars: Episode III - Revenge of the Sith,Supernatural
167,"Dec 17, 2003",377027325,The Lord of the Rings: The Return of the King,Supernatural
168,"Jun 30, 2004",373585825,Spider-Man 2,Supernatural
169,"Feb 25, 2004",370274604,The Passion of the Christ,Supernatural
170,"Feb 12, 2016",363070709,Deadpool,Supernatural
171,"May 24, 2019",355559216,Aladdin,Supernatural
172,"Dec 18, 2002",339789881,The Lord of the Rings: The Two Towers,Supernatural
173,"May 4, 2007",336530303,Spider-Man 3,Supernatural
174,"Dec 21, 2018",335061807,Aquaman,Supernatural
175,"Jul 7, 2017",334201140,Spider-Man: Homecoming,Supernatural
176,"Mar 5, 2010",334191110,Alice in Wonderland,Supernatural
177,"Aug 1, 2014",333176600,Guardians of the Galaxy,Supernatural
178,"Mar 25, 2016",330360194,Batman v Superman: Dawn of Justice,Supernatural
179,"Sep 8, 2017",327481748,It,Supernatural
180,"Aug 5, 2016",325100054,Suicide Squad,Supernatural
181,"May 18, 2007",322719944,Shrek the Third,Supernatural
182,"May 2, 2008",318604126,Iron Man,Supernatural
183,"May 18, 2018",318491426,Deadpool 2,Supernatural
184,"Nov 16, 2001",317575550,Harry Potter and the Sorcerer's Stone,Supernatural
185,"Nov 3, 2017",315058289,Thor: Ragnarok,Supernatural
186,"Dec 19, 2001",313364114,The Lord of the Rings: The Fellowship of the Ring,Supernatural
187,"May 7, 2010",312433331,Iron Man 2,Supernatural
188,"May 25, 1977",307263857,Star Wars: Episode IV - A New Hope,Supernatural
189,"Dec 14, 2012",303003568,The Hobbit: An Unexpected Journey,Supernatural
190,"May 16, 2002",302191252,Star Wars: Episode II - Attack of the Clones,Supernatural
191,"Jul 15, 2009",301959197,Harry Potter and the Half-Blood Prince,Supernatural
192,"Jun 30, 2010",300531751,The Twilight Saga: Eclipse,Supernatural
193,"Nov 20, 2009",296623634,The Twilight Saga: New Moon,Supernatural
194,"Nov 19, 2010",295983305,Harry Potter and the Deathly Hallows: Part 1,Supernatural
195,"Aug 6, 1999",293506292,The Sixth Sense,Supernatural
196,"Nov 16, 2012",292324737,The Twilight Saga: Breaking Dawn - Part 2,Supernatural
197,"Jul 11, 2007",292004738,Harry Potter and the Order of the Phoenix,Supernatural
198,"Dec 9, 2005",291710957,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Supernatural
199,"Jun 14, 2013",291045518,Man of Steel,Supernatural
200,"Nov 18, 2005",290013036,Harry Potter and the Goblet of Fire,Supernatural
201,"Nov 18, 2011",281287133,The Twilight Saga: Breaking Dawn - Part 1,Supernatural
202,"May 16, 2001",267665011,Shrek,Supernatural
203,"Jul 3, 2012",262030663,The Amazing Spider-Man,Supernatural
204,"Nov 15, 2002",261988482,Harry Potter and the Chamber of Secrets,Supernatural
205,"Nov 5, 2004",261441092,The Incredibles,Supernatural
206,"Apr 4, 2014",259766572,Captain America: The Winter Soldier,Supernatural
207,"Dec 13, 2013",258366855,The Hobbit: The Desolation of Smaug,Supernatural
208,"Dec 17, 2014",255119788,The Hobbit: The Battle of the Five Armies,Supernatural
209,"May 25, 1983",252583617,Star Wars: Episode VI - Return of the Jedi,Supernatural
210,"Jun 23, 1989",251188924,Batman,Supernatural
211,"Dec 22, 2006",250863268,Night at the Museum,Supernatural
212,"Jun 4, 2004",249541069,Harry Potter and the Prisoner of Azkaban,Supernatural
213,"Nov 23, 2016",248757044,Moana,Supernatural
214,"May 23, 2003",242829261,Bruce Almighty,Supernatural
215,"May 30, 2014",241410378,Maleficent,Supernatural
216,"May 21, 2010",238736787,Shrek Forever After,Supernatural
217,"Jun 22, 2012",237283207,Brave,Supernatural
218,"Mar 8, 2013",234911825,Oz the Great and Powerful,Supernatural
219,"May 26, 2006",234362462,X-Men: The Last Stand,Supernatural
220,"Nov 18, 2016",234037575,Fantastic Beasts and Where to Find Them,Supernatural
221,"May 23, 2014",233921534,X-Men: Days of Future Past,Supernatural
222,"Nov 4, 2016",232641920,Doctor Strange,Supernatural
223,"Nov 17, 2017",229024295,Justice League,Supernatural
224,"Jul 2, 2008",227946274,Hancock,Supernatural
225,"Mar 3, 2017",226277068,Logan,Supernatural
226,"Nov 7, 2014",222527828,Big Hero 6,Supernatural
227,"Jun 29, 2012",218815487,Ted,Supernatural
228,"Jul 13, 1990",217631306,Ghost,Supernatural
229,"Mar 26, 2010",217581231,How to Train Your Dragon,Supernatural
230,"Nov 13, 1992",217350219,Aladdin,Supernatural
231,"Jul 6, 2018",216648740,Ant-Man and the Wasp,Supernatural
232,"May 2, 2003",214949694,X2: X-Men United,Supernatural
233,"Oct 5, 2018",213515506,Venom,Supernatural
234,"Sep 6, 2019",211593228,It Chapter Two,Supernatural
235,"Nov 22, 2017",209726015,Coco,Supernatural
236,"May 21, 1980",209398025,Star Wars: Episode V - The Empire Strikes Back,Supernatural
237,"Nov 8, 2013",206362140,Thor: The Dark World,Supernatural
238,"Jun 15, 2005",205343774,Batman Begins,Supernatural
239,"May 2, 2014",202853933,The Amazing Spider-Man 2,Supernatural
240,"Mar 13, 2015",201151353,Cinderella,Supernatural
241,"Nov 24, 2010",200821936,Tangled,Supernatural
242,"Jun 28, 2006",200081192,Superman Returns,Supernatural
243,"Apr 26, 2019",858373000,Avengers: Endgame,Alien_Invasion
244,"May 4, 2012",623357910,The Avengers,Alien_Invasion
245,"Mar 8, 2019",426829839,Captain Marvel,Alien_Invasion
246,"Jun 24, 2009",402111870,Transformers: Revenge of the Fallen,Alien_Invasion
247,"Jun 29, 2011",352390543,Transformers: Dark of the Moon,Alien_Invasion
248,"Jul 3, 2007",319246193,Transformers,Alien_Invasion
249,"Jul 3, 1996",306169268,Independence Day,Alien_Invasion
250,"Jun 14, 2013",291045518,Man of Steel,Alien_Invasion
251,"Jul 2, 1997",250690539,Men in Black,Alien_Invasion
252,"Jun 27, 2014",245439076,Transformers: Age of Extinction,Alien_Invasion
253,"Jun 29, 2005",234280354,War of the Worlds,Alien_Invasion
254,"Aug 2, 2002",227966634,Signs,Alien_Invasion
255,"Mar 27, 2009",198351526,Monsters vs. Aliens,Alien_Invasion
256,"Jul 3, 2002",190418803,Men in Black II,Alien_Invasion
257,"Apr 6, 2018",188024361,A Quiet Place,Alien_Invasion
258,"May 25, 2012",179020854,Men in Black 3,Alien_Invasion
259,"Mar 27, 2015",177397510,Home,Alien_Invasion
260,"Nov 4, 2005",135386665,Chicken Little,Alien_Invasion
261,"Jun 21, 2017",130168683,Transformers: The Last Knight,Alien_Invasion
262,"Aug 14, 2009",115646235,District 9,Alien_Invasion
263,"Jun 24, 2016",103144286,Independence Day: Resurgence,Alien_Invasion
264,"Jul 12, 2013",101802906,Pacific Rim,Alien_Invasion
265,"Nov 11, 2016",100546139,Arrival,Alien_Invasion
266,"Jul 29, 2011",100240551,Cowboys & Aliens,Alien_Invasion
267,"Jun 6, 2014",100206256,Edge of Tomorrow,Alien_Invasion
268,"Mar 11, 2011",83552429,Battle Los Angeles,Alien_Invasion
269,"Dec 12, 2008",79366978,The Day the Earth Stood Still,Alien_Invasion
270,"Jul 24, 2015",78747585,Pixels,Alien_Invasion
271,"May 18, 2012",65422625,Battleship,Alien_Invasion
272,"Nov 1, 2013",61737191,Ender's Game,Alien_Invasion
273,"Feb 15, 2013",57012977,Escape from Planet Earth,Alien_Invasion
274,"Feb 18, 2011",55100437,I Am Number Four,Alien_Invasion
275,"Dec 25, 1998",40283321,The Faculty,Alien_Invasion
276,"Jun 8, 2001",38345494,Evolution,Alien_Invasion
277,"Dec 13, 1996",37771017,Mars Attacks!,Alien_Invasion
278,"Jul 27, 2012",35353000,The Watch,Alien_Invasion
279,"Jan 22, 2016",34916787,The 5th Wave,Alien_Invasion
280,"Mar 29, 2013",26627201,The Host,Alien_Invasion
281,"Aug 23, 2013",26004851,The World's End,Alien_Invasion
282,"Oct 7, 1988",25216243,Alien Nation,Alien_Invasion
283,"May 12, 2000",21471685,Battlefield Earth,Alien_Invasion
284,"Dec 25, 2011",21443494,The Darkest Hour,Alien_Invasion
285,"Nov 12, 2010",21393620,Skyline,Alien_Invasion
286,"Apr 27, 1990",15369573,Spaced Invaders,Alien_Invasion
287,"Aug 17, 2007",15074191,The Invasion,Alien_Invasion
288,"May 31, 1996",14063331,The Arrival,Alien_Invasion
289,"Nov 4, 1988",13008928,They Live,Alien_Invasion
290,"Jan 4, 2002",6285176,Impostor,Alien_Invasion
291,"Mar 15, 2019",5958315,Captive State,Alien_Invasion
292,"Jul 29, 2011",1024175,Attack the Block,Alien_Invasion
293,"Aug 8, 2003",671372,Koi... Mil Gaya,Alien_Invasion
294,"Jan 14, 1994",428868,Body Snatchers,Alien_Invasion
